,IPC(%anual),Desempleo (%),Inversion Es(millones€),IED(millones€),Total de reservas(millones€),Deuda Externa(millones€),Tasa de interés(%),Saldo Balanza Pagos(millones€),Importaciones(millones€),Exportaciones(millones€),PIB(millones€)
1993,0.16231870578081706,-0.7204284557765642,-0.5605545506863019,-1.8035265481293363,-1.0710101734215394,-0.8660325223240112,0.449904121462323,-0.9056239493587618,-1.4579699343254766,-1.518925210931904,-1.2574514506587555
1994,-0.16517968867171778,0.33761255084431163,-0.6310519037870691,-1.2580316361141775,-1.3877569058659618,-0.907355747710361,0.5392349417884625,-1.2022050172854388,-1.4053063855154855,-1.4934689023476682,-1.3484716450525727
1997,1.4440390409044064,0.13984787670956836,-0.5612680629708792,-0.9340761448765617,-1.0005320665952955,-0.7102323427020215,0.7763373060185899,0.46063433543156174,-1.060644066173476,-1.0071818520542763,-1.2080216940877526
1998,0.8903547049594736,-0.3644520423340268,-0.5872937159739,-1.0279127712926848,-0.985731018977135,-0.7052373703708048,1.1286513824450466,-0.195624808748602,-0.9990080239938387,-1.014029119122674,-1.2425841405623732
1999,0.9681061223474854,-1.481822451195325,-0.5534662155313218,-0.6984990495450655,-0.9048303470995138,-0.45394076478666934,0.9099161027679572,-0.22142633869879152,-0.6779473391713424,-0.6845753587340689,-0.6258366385286798
2000,0.13168935953705482,-1.4323812826616396,-0.5070762201111058,-0.06807620647849102,-0.7922761486811142,-0.494367772846665,0.3413713491034619,-0.8152226302537589,-0.26072253992601246,-0.29981574201275113,0.026486293636209426
2001,-0.23586279538809216,-1.452157750075114,-0.5886505590068665,1.5155481198876715,-0.563040215034929,-0.2900123097555119,-0.003428920005842923,-0.818091665409263,-0.2257562676022899,-0.28637973821029195,0.438964110950683
2002,-0.39372173372132835,-1.0862931029258391,-0.598873669444907,0.3106362265394291,-0.6002114411168915,-0.5951104485832072,-0.38663309318059097,-0.24834778168209526,-0.49567704669503937,-0.5195289387865676,-0.03987482117395855
2003,-0.45026821909442794,-0.6314343524159299,-0.5701226334532552,-0.6272317112984911,-0.6251192240203834,-0.7927525715495165,-0.4859823232629331,0.497418334092528,-0.7324536061149728,-0.7217381826599247,-0.6944133690615305
2004,-0.4337754941939405,-0.15679913449254654,-0.6281744608033643,-0.19347646626568893,-0.6167398655399722,-0.8235211445446955,-0.4509178891162241,0.6413281481701518,-0.6395187259472661,-0.653978644294206,-0.7048133402004386
2005,-0.5162391186963774,-0.5325520153485583,-0.41943117833508964,0.20545711459029037,-0.3387760413979951,-0.6415876109432096,-0.2622378387077426,0.39723855171959277,-0.24004823992054722,-0.2595959955730463,-0.017155176830836515
2006,-0.558648982726202,-0.5226637816418214,-0.4248234596988616,-0.37222545103562416,-0.42548136462970154,-0.7663360305576304,-0.4450738167584393,0.8872005037069931,-0.17664782474847554,-0.18000876453720832,-0.025173059822048257
2007,-0.5185952222535898,-0.4633343794013984,-0.3991487143767803,0.13391947880674254,-0.3897863868234071,-0.7233633387190026,-0.4408994793600216,0.48221937302562756,-0.18260370871866802,-0.20842699859381542,-0.09796630805965229
2008,-0.3831192677138722,-0.22601677043970647,-0.5128895906920051,0.1314245101835637,-0.2365146400136742,-0.6651994424366873,-0.3448897191964136,-0.03597190624699934,0.08114672461641738,-0.0026628457470519924,0.20578246951807688
2009,-0.3619143356989599,1.2473300518641297,-0.46472166302169504,-0.7105923615696752,-0.2070170902786138,-0.7178950549969692,-0.48264285334419893,0.6172975054366355,-0.4603145481823859,-0.45014846665012387,-0.48774417222074723
2010,-0.4962122384600713,1.1880006496237063,-0.4376081962077613,0.2956241460497185,0.16474269122340263,-0.3120198314194578,-0.6312492647278702,0.796258025212314,0.11940248255825749,0.13394776195112762,0.1916364279688124
2011,-0.5845661218555392,1.0594536114361235,-0.5681575504399934,-0.1891005382391243,0.6249744687109459,0.03536898427674985,-0.6621393614761615,0.24450200258769017,0.5527442458636286,0.5751663831474259,0.7024712762102668
2012,-0.5021024973531024,0.7825830676474829,0.6274083123666462,-0.7035167951800004,0.8315105034662765,0.3618345371437396,-0.681341313508883,-0.24366531844381892,0.6380713811413649,0.676338793327285,0.693660875313741
2013,-0.5374440507112896,0.8023595350609577,0.05333504327214584,1.8718659014163093,0.9134686932989573,0.618873448834066,-0.7155708801759085,-1.1146984557200932,0.6022559870937979,0.6341743190670152,0.7648851261937692
2014,-0.5127049633605587,0.7034771979935855,1.9582958738662963,0.3920024591818307,1.4733681567715389,1.2031002527257213,-0.775681338713124,-0.9255192241784825,1.1142327594418846,1.116500946441245,1.4365533717242307
2015,-0.6658516945793698,0.20906551265672785,1.4862782553117322,1.422270998249729,1.5063023657027597,1.4317069051017846,-0.7848648809896429,-1.6756096684581776,1.4174422328934007,1.325609443952942,1.4026807046873309
2017,-0.2747385040820981,-0.6709872872428786,0.5093512715758641,0.8226097946276528,1.190210504816059,1.2226385735993772,-0.4601014313927431,-0.531257402431561,1.2979646985502338,1.2396646107170317,0.9273367278219703
2018,-0.40903640684320947,-0.8094225591371988,0.01998711666018513,1.413187666204754,1.328030170658872,1.448019943355954,-0.4008258403352114,-1.031907005034448,1.805604383075534,1.7231210109772597,1.34634857732189
2019,-0.5574709309475957,-0.6116578850024557,1.8832601147587102,0.6737948716581478,1.5011463716633144,1.6466379325994396,-0.368266008627553,0.7794533937807987,1.8177622080303237,1.8907051422463605,1.6231604790985978
