Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belice,BLZ,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,2790,2770,2860,2880,2890,2780,2880,3150,3130,3200,3420,3560,3620,3740,3670,3880,4050,3880,4050,4100,4180,4250,4400,4330,4390,4450,4480,
Bermudas,BMU,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,30890,31730,34290,,,,,,,,,,,,99790,107640,104080,103480,101610,100100,101760,99920,101120,103620,112940,116990,117530,
Bolivia,BOL,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,790,810,850,900,950,990,980,980,950,920,910,950,1020,1110,1220,1480,1620,1780,2000,2250,2590,2830,2960,3040,3090,3370,3520,
Brasil,BRA,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,3090,3030,3760,4460,5020,4840,4120,3930,3350,3090,2980,3340,4000,4850,6190,7620,8320,9650,11080,12310,12790,12120,10190,8920,8700,9080,9130,
Barbados,BRB,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,7690,8010,8340,8700,9050,9420,9820,10780,10630,10650,11300,12290,13240,14220,15530,16180,15730,15540,15050,15720,15660,15630,15740,15920,16070,16700,17380,
Brunei Darussalam,BRN,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,15030,15090,15680,16210,16220,14420,14040,14680,16070,17140,17810,19990,23090,27580,30930,34150,32460,33300,35520,42370,45320,43090,38850,33170,29800,29390,32230,
Bhután,BTN,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,440,470,490,530,580,550,580,730,770,810,910,1030,1200,1330,1640,1770,1860,2040,2240,2390,2410,2460,2520,2650,2800,2970,3140,
Botswana,BWA,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,3330,2960,3260,3180,3330,3210,3150,3170,3260,2930,3370,3920,4930,5440,5730,5740,5330,5610,6610,7250,7570,7520,6840,6560,6690,7340,7650,
República Centroafricana,CAF,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,450,370,350,300,300,280,280,260,260,250,260,300,340,350,380,420,480,510,530,570,380,390,400,410,440,490,520,
Canadá,CAN,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,21270,20890,20850,20810,20190,20200,21210,22620,23030,23620,25860,29900,34800,38500,43080,45640,43230,44480,47180,51000,52770,52180,47570,43870,42990,44990,46360,
