Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Burkina Faso,BFA,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,509000000,349000000,455000000,647000000,587000000,732000000,678000000,611000000,656000000,739000000,925000000,1270000000,1260000000,1319000000,1678000000,2018000000,1870000000,2048000000,2406000000,3575000000,4365000000,3576000000,3080000000,3345000000,3861000000,4301000000,4187000000,
Bangladesh,BGD,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,3994000000,4602000000,6694000000,7032000000,7263000000,7495000000,8331000000,8883000000,9018000000,8592000000,10434000000,12036000000,13889000000,16034000000,18596000000,23860000000,21833000000,27821000000,36214000000,34173000000,37085000000,41119000000,42047000000,44772000000,52836000000,60495000000,59094000000,
Bulgaria,BGR,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,4900000000,4585000000,5660000000,5075000000,4930000000,4949000000,5478000000,6544000000,7279000000,7954000000,10871000000,14453000000,18163000000,23270000000,29961000000,36908000000,23539000000,25513000000,32582000000,32710000000,34303000000,34651000000,29205000000,28933000000,34184000000,37856000000,37663000000,
Bahrein,BHR,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,3857000000,3761000000,3715000000,4272000000,4026000000,3566000000,3698000000,4633000000,4306000000,5013000000,5657000000,7385000000,9393000000,10515000000,11488000000,14980000000,10100000000,12260000000,12730000000,10891000000,9997000000,12216000000,12408000000,11579000000,13145000000,14871000000,13256000000,
Bahamas,BHS,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,954000000,1056000000,1243000000,1366000000,1666000000,1873000000,1757000000,2074000000,1912000000,1728000000,1762000000,1905000000,2312000000,2727000000,2956000000,3199000000,2535000000,2591000000,2966000000,3386000000,3166000000,3344000000,2954000000,2632000000,3109000000,3317000000,3073000000,
Bosnia y Herzegovina,BIH,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,365000000,894000000,1082000000,1882000000,2333000000,2910000000,3305000000,3107000000,3354000000,3872000000,4801000000,5915000000,7070000000,7345000000,9720000000,12189000000,8773000000,9223000000,11051000000,10019000000,10295000000,10988000000,8986000000,9146000000,10504000000,11630000000,11159000000,
Belarús,BLR,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,2539000000,3066000000,5564000000,6939000000,8689000000,8549000000,6674000000,8646000000,8286000000,9092000000,11558000000,16491000000,16708000000,22351000000,28693000000,39381000000,28569000000,34884000000,45759000000,46404000000,43023000000,40614000000,30292000000,27610000000,34236000000,38440000000,39480000000,
Belice,BLZ,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,281000000,260000000,257000000,255000000,286000000,295000000,370000000,524000000,517000000,525000000,552000000,520000000,593000000,660000000,684000000,837000000,669000000,706000000,831000000,861000000,928000000,962000000,991000000,953000000,916000000,958000000,986000000,
Bermudas,BMU,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,534000000,551000000,550000000,569000000,619000000,629000000,712000000,720000000,720000000,747000000,833000000,988000000,985000000,1094000000,1167000000,1159000000,1064000000,972000000,900000000,900000000,1012000000,962000000,934000000,977000000,1095000000,1100000000,1152000000,
Bolivia,BOL,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1206000000,1209000000,1424000000,1635000000,1851000000,1983000000,1755000000,1830000000,1708000000,1775000000,1616000000,1877000000,2431000000,2916000000,3586000000,5081000000,4545000000,5590000000,7927000000,8578000000,9338000000,10519000000,9766000000,8427000000,9288000000,9996000000,9784000000,
Brasil,BRA,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,27604000000,36192000000,54137000000,56981000000,64242000000,60652000000,51767000000,58643000000,58382000000,49723000000,50881000000,66433000000,77628000000,95838000000,126645000000,182377000000,133677000000,191537000000,236964000000,233398000000,250556000000,239156000000,179091000000,143411000000,157543000000,188564000000,184370000000,
Barbados,BRB,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,577000000,615000000,771000000,833000000,996000000,1010000000,1108000000,1156000000,1087000000,1039000000,1195000000,1413000000,1604000000,1697000000,1746000000,1920000000,1449000000,1569000000,1805000000,1780000000,1759000000,1739000000,1618000000,1622000000,1600000000,1578000000,1581000000,
Brunei Darussalam,BRN,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1822000000,1854000000,2091000000,2494000000,2203000000,1552000000,1342000000,1107000000,1159000000,1556000000,1327000000,1422000000,1491000000,1676000000,2101000000,2572000000,2449000000,2538000000,3629000000,3572000000,3612000000,3599000000,3229000000,2679000000,3085000000,4164000000,5103000000,
Bhután,BTN,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,90000000,92000000,112000000,128000000,137000000,134000000,182000000,175000000,191000000,197000000,249000000,411000000,386000000,420000000,526000000,543000000,529000000,854000000,1043000000,991000000,909000000,932000000,1061000000,1002000000,1029000000,1048000000,981000000,
Botswana,BWA,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1771000000,1640000000,1911000000,1723000000,2258000000,2251000000,2198000000,2081000000,1809000000,1845000000,2448000000,3231000000,3161000000,3086000000,4067000000,5211000000,4728000000,5657000000,7272000000,8025000000,8352000000,8078000000,7238000000,6143000000,5329000000,6316000000,6565000000,
República Centroafricana,CAF,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,125000000,139000000,175000000,141000000,141000000,146000000,131000000,117000000,107000000,120000000,118000000,151000000,175000000,203000000,249000000,300000000,270000000,300000000,310000000,323000000,213000000,406000000,346000000,399000000,488000000,606000000,603000000,
Canadá,CAN,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,139035000000,155072000000,168426000000,175158000000,200873000000,206066000000,220183000000,244786000000,227291000000,227499000000,245021000000,279931000000,322411000000,359000000000,390188000000,419011000000,329907000000,402690000000,463640000000,476296000000,475777000000,475319000000,430124000000,412940000000,443651000000,470466000000,463786000000,
