,industry,variable,value
331,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2004,9.48
332,50 TRANSPORTE MARÍTIMO Y POR VÍAS NAVEGABLES INTERIORES,2004,3.0
333,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,2004,3.1
334,55 SERVICIOS DE ALOJAMIENTO,2004,281.07
335,56 SERVICIOS DE COMIDAS Y BEBIDAS,2004,298.88
336,58 EDICIÓN,2004,256.2
337,61 TELECOMUNICACIONES,2004,10.0
338,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2004,125.36
339,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2004,0.8
340,66 ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS,2004,36.09
341,68 ACTIVIDADES INMOBILIARIAS,2004,4317.55
342,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2004,1225.42
343,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2004,3.05
344,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,2004,697.08
345,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2004,3.6
346,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2004,404.47
347,78 ACTIVIDADES RELACIONADAS CON EL EMPLEO,2004,1.51
348,81 SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,2004,0.0
349,85 EDUCACIÓN,2004,2.22
350,"95 REPARACIÓN ORDENADORES, EFECTOS PERSONALES",2004,0.0
351,10 INDUSTRIA DE LA ALIMENTACIÓN,2005,491.94
352,18 ARTES GRÁFICAS Y REPRODUCCIÓN DE SOPORTES GRABADOS,2005,513.36
353,20 INDUSTRIA QUÍMICA,2005,270.05
354,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2005,3000.0
355,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2005,1.51
356,41 CONSTRUCCIÓN DE EDIFICIOS,2005,11417.97
357,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,2005,1059.7
358,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2005,11142.11
359,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2005,442.0
360,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,2005,11.17
361,55 SERVICIOS DE ALOJAMIENTO,2005,153.31
362,56 SERVICIOS DE COMIDAS Y BEBIDAS,2005,44.36
363,58 EDICIÓN,2005,351.67
364,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2005,0.0
365,60 ACTIVIDADES DE PROGRAMACIÓN Y EMISIÓN DE RADIO Y TEL,2005,1214.07
366,61 TELECOMUNICACIONES,2005,4.53
367,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2005,48.77
368,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2005,61594.9
369,66 ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS,2005,3.75
370,68 ACTIVIDADES INMOBILIARIAS,2005,15049.89
371,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2005,14.0
372,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2005,0.95
373,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,2005,3.01
374,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2005,15.0
375,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2005,3.5
376,77 ACTIVIDADES DE ALQUILER,2005,63.45
377,"79 ACTIVI. AGENCIAS VIAJE, OPERADOR TURÍST. RESERVAS",2005,425.23
378,80 ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,2005,60.06
379,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2005,25.55
380,85 EDUCACIÓN,2005,5.0
381,"90 ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS",2005,2.71
382,10 INDUSTRIA DE LA ALIMENTACIÓN,2006,2677.27
383,14 CONFECCIÓN DE PRENDAS DE VESTIR,2006,10.4
384,31 FABRICACIÓN DE MUEBLES,2006,0.0
385,33 REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,2006,0.72
386,41 CONSTRUCCIÓN DE EDIFICIOS,2006,9134.33
387,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,2006,4.22
388,45 VENTA Y REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICL.,2006,3.7
389,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2006,1330.88
390,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2006,463.04
391,49 TRANSPORTE TERRESTRE Y POR TUBERÍA,2006,6.27
392,55 SERVICIOS DE ALOJAMIENTO,2006,6.0
393,56 SERVICIOS DE COMIDAS Y BEBIDAS,2006,48.0
394,58 EDICIÓN,2006,765.19
395,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2006,3.15
396,60 ACTIVIDADES DE PROGRAMACIÓN Y EMISIÓN DE RADIO Y TEL,2006,59840.0
397,61 TELECOMUNICACIONES,2006,0.0
398,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2006,256.79
399,66 ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS,2006,4566.66
400,68 ACTIVIDADES INMOBILIARIAS,2006,21166.18
401,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2006,200.16
402,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2006,0.61
403,72 INVESTIGACIÓN Y DESARROLLO,2006,1.71
404,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2006,77.79
405,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2006,1031.66
406,"79 ACTIVI. AGENCIAS VIAJE, OPERADOR TURÍST. RESERVAS",2006,648.9
407,80 ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,2006,883.72
408,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2006,1523.0
409,85 EDUCACIÓN,2006,1.6
410,87 ASISTENCIA EN ESTABLECIMIENTOS RESIDENCIALES,2006,475.43
411,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",2007,1.51
412,08 OTRAS INDUSTRIAS EXTRACTIVAS,2007,0.0
413,10 INDUSTRIA DE LA ALIMENTACIÓN,2007,2200.69
414,11 FABRICACIÓN DE BEBIDAS,2007,350.0
415,"16 INDUSTRIA MADERA Y CORCHO, EXCEPTO MUEBLES, CESTERÍA",2007,3.0
416,20 INDUSTRIA QUÍMICA,2007,0.0
417,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2007,1500.0
418,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,2007,0.0
419,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2007,0.0
420,"29 FABRICACIÓN DE VEHÍCULOS DE MOTOR, REMOLQUES",2007,0.0
421,30 FABRICACIÓN DE OTRO MATERIAL DE TRANSPORTE,2007,5.1
422,31 FABRICACIÓN DE MUEBLES,2007,0.0
423,33 REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,2007,51.27
424,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE",2007,0.0
425,41 CONSTRUCCIÓN DE EDIFICIOS,2007,4142.58
426,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,2007,3.06
427,45 VENTA Y REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICL.,2007,1.5
428,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2007,1933.13
429,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2007,195.74
430,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,2007,0.0
431,55 SERVICIOS DE ALOJAMIENTO,2007,0.0
432,56 SERVICIOS DE COMIDAS Y BEBIDAS,2007,88.39
433,58 EDICIÓN,2007,0.0
434,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2007,12.0
435,60 ACTIVIDADES DE PROGRAMACIÓN Y EMISIÓN DE RADIO Y TEL,2007,97519.99
436,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2007,71.81
437,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2007,3.5
438,68 ACTIVIDADES INMOBILIARIAS,2007,5292.35
439,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2007,51.69
440,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2007,6.01
441,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,2007,3.01
442,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2007,46.26
443,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2007,243.86
444,"79 ACTIVI. AGENCIAS VIAJE, OPERADOR TURÍST. RESERVAS",2007,0.0
445,80 ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,2007,2354.85
446,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2007,0.0
447,87 ASISTENCIA EN ESTABLECIMIENTOS RESIDENCIALES,2007,0.0
448,"90 ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS",2007,1.47
449,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",2007,15.0
450,94 ACTIVIDADES ASOCIATIVAS,2007,0.0
451,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",2008,12.96
452,08 OTRAS INDUSTRIAS EXTRACTIVAS,2008,0.0
453,10 INDUSTRIA DE LA ALIMENTACIÓN,2008,1.31
454,11 FABRICACIÓN DE BEBIDAS,2008,40.0
455,"16 INDUSTRIA MADERA Y CORCHO, EXCEPTO MUEBLES, CESTERÍA",2008,0.0
456,20 INDUSTRIA QUÍMICA,2008,3.1
457,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2008,10800.0
458,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,2008,3.0
459,"26 FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS",2008,1.5
460,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,2008,0.0
461,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2008,6605.18
462,31 FABRICACIÓN DE MUEBLES,2008,0.0
463,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE",2008,936.0
464,41 CONSTRUCCIÓN DE EDIFICIOS,2008,3312.62
465,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,2008,15.59
466,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2008,4266.4
467,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2008,446.0
468,55 SERVICIOS DE ALOJAMIENTO,2008,700.4
469,56 SERVICIOS DE COMIDAS Y BEBIDAS,2008,122.41
470,58 EDICIÓN,2008,1387.65
471,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2008,1.5
472,60 ACTIVIDADES DE PROGRAMACIÓN Y EMISIÓN DE RADIO Y TEL,2008,28000.0
473,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2008,2063.76
474,68 ACTIVIDADES INMOBILIARIAS,2008,4356.91
475,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2008,28.02
476,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,2008,0.0
477,72 INVESTIGACIÓN Y DESARROLLO,2008,37.08
478,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2008,38.89
479,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2008,183.03
480,78 ACTIVIDADES RELACIONADAS CON EL EMPLEO,2008,0.27
481,80 ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,2008,2382.78
482,81 SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,2008,3.01
483,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2008,1519.17
484,86 ACTIVIDADES SANITARIAS,2008,3.02
485,"90 ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS",2008,218.7
486,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",2008,7.41
487,94 ACTIVIDADES ASOCIATIVAS,2008,0.0
488,96 OTROS SERVICIOS PERSONALES,2008,3.01
489,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",2009,2.5
490,08 OTRAS INDUSTRIAS EXTRACTIVAS,2009,0.0
491,10 INDUSTRIA DE LA ALIMENTACIÓN,2009,0.0
492,11 FABRICACIÓN DE BEBIDAS,2009,195.74
493,"16 INDUSTRIA MADERA Y CORCHO, EXCEPTO MUEBLES, CESTERÍA",2009,227.43
494,20 INDUSTRIA QUÍMICA,2009,0.0
495,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2009,928.02
496,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,2009,5040.0
497,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,2009,0.0
498,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2009,64.05
499,31 FABRICACIÓN DE MUEBLES,2009,0.0
500,32 OTRAS INDUSTRIAS MANUFACTURERAS,2009,3.01
501,33 REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,2009,51.92
502,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE",2009,0.0
503,41 CONSTRUCCIÓN DE EDIFICIOS,2009,4172.33
504,42 INGENIERÍA CIVIL,2009,101.55
505,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,2009,96.0
506,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2009,368.2
507,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2009,135.94
508,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,2009,1.53
509,55 SERVICIOS DE ALOJAMIENTO,2009,1082.5
510,56 SERVICIOS DE COMIDAS Y BEBIDAS,2009,490.25
511,58 EDICIÓN,2009,371.64
512,60 ACTIVIDADES DE PROGRAMACIÓN Y EMISIÓN DE RADIO Y TEL,2009,54015.43
513,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2009,2090.1
514,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2009,1038.23
515,68 ACTIVIDADES INMOBILIARIAS,2009,15892.96
516,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2009,2.98
517,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2009,3.01
518,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,2009,3.1
519,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2009,6.01
520,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2009,61.0
521,"79 ACTIVI. AGENCIAS VIAJE, OPERADOR TURÍST. RESERVAS",2009,10.0
522,80 ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,2009,1543.92
523,81 SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,2009,0.0
524,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2009,32.5
525,85 EDUCACIÓN,2009,15.0
526,86 ACTIVIDADES SANITARIAS,2009,0.0
527,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",2009,24.99
528,94 ACTIVIDADES ASOCIATIVAS,2009,0.0
529,96 OTROS SERVICIOS PERSONALES,2009,3.06
530,99 ACTIV. ORGANIZACIONES Y ORGANISMOS EXTRATERRITORIAL,2009,4.0
531,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",2010,2376.92
532,08 OTRAS INDUSTRIAS EXTRACTIVAS,2010,0.0
533,10 INDUSTRIA DE LA ALIMENTACIÓN,2010,67022.43
534,11 FABRICACIÓN DE BEBIDAS,2010,0.0
535,14 CONFECCIÓN DE PRENDAS DE VESTIR,2010,0.75
536,15 INDUSTRIA DEL CUERO Y DEL CALZADO,2010,6.25
537,"16 INDUSTRIA MADERA Y CORCHO, EXCEPTO MUEBLES, CESTERÍA",2010,0.0
538,20 INDUSTRIA QUÍMICA,2010,378.01
539,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2010,0.0
540,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,2010,0.0
541,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,2010,0.0
542,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2010,0.0
543,31 FABRICACIÓN DE MUEBLES,2010,205.0
544,32 OTRAS INDUSTRIAS MANUFACTURERAS,2010,115.79
545,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE",2010,0.0
546,41 CONSTRUCCIÓN DE EDIFICIOS,2010,2509.87
547,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2010,1519.79
548,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2010,53.04
549,49 TRANSPORTE TERRESTRE Y POR TUBERÍA,2010,0.05
550,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,2010,0.0
551,55 SERVICIOS DE ALOJAMIENTO,2010,431.11
552,56 SERVICIOS DE COMIDAS Y BEBIDAS,2010,544.04
553,58 EDICIÓN,2010,1372.05
554,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2010,597.39
555,60 ACTIVIDADES DE PROGRAMACIÓN Y EMISIÓN DE RADIO Y TEL,2010,0.0
556,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2010,1462.24
557,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2010,0.0
558,68 ACTIVIDADES INMOBILIARIAS,2010,17674.83
559,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2010,2.09
560,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2010,35.48
561,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2010,13.98
562,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2010,7.02
563,80 ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,2010,3326.18
564,81 SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,2010,0.0
565,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2010,1.5
566,85 EDUCACIÓN,2010,6.11
567,"91 ACTIV. DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS",2010,0.0
568,92 ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,2010,0.0
569,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",2010,3.01
570,94 ACTIVIDADES ASOCIATIVAS,2010,0.0
571,96 OTROS SERVICIOS PERSONALES,2010,0.0
572,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",2011,0.0
573,08 OTRAS INDUSTRIAS EXTRACTIVAS,2011,0.0
574,10 INDUSTRIA DE LA ALIMENTACIÓN,2011,0.0
575,11 FABRICACIÓN DE BEBIDAS,2011,0.0
576,13 INDUSTRIA TEXTIL,2011,2.99
577,14 CONFECCIÓN DE PRENDAS DE VESTIR,2011,0.0
578,20 INDUSTRIA QUÍMICA,2011,88.0
579,21 FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS,2011,3.01
580,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2011,0.0
581,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,2011,0.0
582,"24 METALURGIA; FABRICACION PRODUCTOS HIERRO, ACERO",2011,4.9
583,"26 FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS",2011,1.78
584,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,2011,0.0
585,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2011,0.0
586,31 FABRICACIÓN DE MUEBLES,2011,100.0
587,32 OTRAS INDUSTRIAS MANUFACTURERAS,2011,25.0
588,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE",2011,0.0
589,"36 CAPTACIÓN, DEPURACIÓN Y DISTRIBUCIÓN DE AGUA",2011,2.26
590,41 CONSTRUCCIÓN DE EDIFICIOS,2011,5345.32
591,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,2011,776.65
592,45 VENTA Y REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICL.,2011,0.2
593,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2011,2250.61
594,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2011,1009.87
595,55 SERVICIOS DE ALOJAMIENTO,2011,8666.95
596,56 SERVICIOS DE COMIDAS Y BEBIDAS,2011,0.76
597,58 EDICIÓN,2011,5550.45
598,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2011,785.02
599,60 ACTIVIDADES DE PROGRAMACIÓN Y EMISIÓN DE RADIO Y TEL,2011,0.0
600,61 TELECOMUNICACIONES,2011,7.2
601,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2011,700.45
602,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2011,6.0
603,68 ACTIVIDADES INMOBILIARIAS,2011,6854.97
604,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2011,0.0
605,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2011,2380.95
606,72 INVESTIGACIÓN Y DESARROLLO,2011,4.05
607,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2011,553.42
608,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2011,3201.66
609,78 ACTIVIDADES RELACIONADAS CON EL EMPLEO,2011,200.0
610,80 ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,2011,749.86
611,81 SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,2011,0.0
612,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2011,3612.26
613,85 EDUCACIÓN,2011,3.0
614,"90 ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS",2011,979.85
615,92 ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,2011,3.0
616,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",2011,0.0
617,94 ACTIVIDADES ASOCIATIVAS,2011,0.26
618,96 OTROS SERVICIOS PERSONALES,2011,19.43
619,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",2012,2.41
620,08 OTRAS INDUSTRIAS EXTRACTIVAS,2012,0.0
621,10 INDUSTRIA DE LA ALIMENTACIÓN,2012,0.0
622,11 FABRICACIÓN DE BEBIDAS,2012,50.0
623,18 ARTES GRÁFICAS Y REPRODUCCIÓN DE SOPORTES GRABADOS,2012,303.59
624,20 INDUSTRIA QUÍMICA,2012,6007.81
625,21 FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS,2012,1609.27
626,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2012,0.0
627,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,2012,0.0
628,"25 FABRICACIÓN DE PRODUCTOS METÁLICOS, EXCEPTO MAQUINAR",2012,3.6
629,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,2012,0.0
630,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2012,0.0
631,31 FABRICACIÓN DE MUEBLES,2012,200.0
632,33 REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,2012,300.23
633,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE",2012,130.0
634,41 CONSTRUCCIÓN DE EDIFICIOS,2012,4744.51
635,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,2012,0.0
636,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2012,731.86
637,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2012,28036.31
638,55 SERVICIOS DE ALOJAMIENTO,2012,546.75
639,56 SERVICIOS DE COMIDAS Y BEBIDAS,2012,37.56
640,58 EDICIÓN,2012,818.38
641,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2012,1812.5
642,60 ACTIVIDADES DE PROGRAMACIÓN Y EMISIÓN DE RADIO Y TEL,2012,0.0
643,61 TELECOMUNICACIONES,2012,2008.0
644,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2012,394.42
645,63 SERVICIOS DE INFORMACIÓN,2012,0.0
646,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2012,0.0
647,68 ACTIVIDADES INMOBILIARIAS,2012,494640.58
648,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2012,2.26
649,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2012,3504.45
650,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,2012,0.9
651,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2012,11.58
652,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2012,0.0
653,80 ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,2012,1184.78
654,81 SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,2012,0.0
655,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2012,3.0
656,85 EDUCACIÓN,2012,0.0
657,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",2012,7608.42
658,94 ACTIVIDADES ASOCIATIVAS,2012,0.0
659,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",2013,580.73
660,08 OTRAS INDUSTRIAS EXTRACTIVAS,2013,550.0
