,industry,variable,value
76,"26 FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS",1996,0.30000000000000004
77,41 CONSTRUCCIÓN DE EDIFICIOS,1996,3028.03
78,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,1996,0.0
79,45 VENTA Y REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICL.,1996,126.82
80,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",1996,3281.06
81,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",1996,16.39
82,49 TRANSPORTE TERRESTRE Y POR TUBERÍA,1996,323.65
83,55 SERVICIOS DE ALOJAMIENTO,1996,283.11
84,56 SERVICIOS DE COMIDAS Y BEBIDAS,1996,422.21
85,58 EDICIÓN,1996,1241.58
86,63 SERVICIOS DE INFORMACIÓN,1996,3.01
87,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",1996,61.2
88,68 ACTIVIDADES INMOBILIARIAS,1996,2151.02
89,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,1996,21.04
90,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,1996,180.32
91,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,1996,1.47
92,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,1996,1.5
93,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",1996,46.28
94,77 ACTIVIDADES DE ALQUILER,1996,78.13
95,"79 ACTIVI. AGENCIAS VIAJE, OPERADOR TURÍST. RESERVAS",1996,72.73
96,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,1996,823.09
97,85 EDUCACIÓN,1996,1.5
98,"95 REPARACIÓN ORDENADORES, EFECTOS PERSONALES",1996,248.71
99,10 INDUSTRIA DE LA ALIMENTACIÓN,1997,0.84
100,13 INDUSTRIA TEXTIL,1997,5.5
101,20 INDUSTRIA QUÍMICA,1997,521.07
102,"25 FABRICACIÓN DE PRODUCTOS METÁLICOS, EXCEPTO MAQUINAR",1997,80.45
103,"26 FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS",1997,1.53
104,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,1997,42.08
105,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,1997,8544.39
106,"29 FABRICACIÓN DE VEHÍCULOS DE MOTOR, REMOLQUES",1997,0.0
107,32 OTRAS INDUSTRIAS MANUFACTURERAS,1997,6.02
108,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE",1997,45.08
109,41 CONSTRUCCIÓN DE EDIFICIOS,1997,3345.33
110,45 VENTA Y REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICL.,1997,1.5
111,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",1997,2067.23
112,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",1997,250.89
113,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,1997,19.53
114,55 SERVICIOS DE ALOJAMIENTO,1997,1389.97
